Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Social Benefits, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,15.93
"Other Expense, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.00
"Use of Goods and Services, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.08
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.90
"Social Security Benefits, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,11.21
"Social Assistance Benefits, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.62
"Employer Social Benefits, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.10
"Property Expense Other than Interest, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.00
"Total Expenditure, Cash (Gen. Govt.)",Croatia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,41.09
"Interest, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,25377000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,120671000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,234786000000.00
"Grants, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,24453000000.00
"Social Benefits, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,502769000000.00
"Other Expense, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,190308000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,114075000000.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,16000000.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,190292000000.00
"Total Expenditure, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1279920000000.00
"Interest, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.85
"Compensation of Employees, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.04
"Subsidies and Transfers, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,7.87
"Grants, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.82
"Social Benefits, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,16.85
"Other Expense, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,6.38
"Use of Goods and Services, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.82
"Property Expense Other than Interest, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,6.38
"Total Expenditure, Cash (Gen. Govt.)",Czech Republic,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,42.89
"Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,29806000000.00
"Compensation of Employees, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,42012000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,13765000000.00
"Grants, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,25610000000.00
"Other Expense, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,23583000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,12713000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,3002000000.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,23583000000.00
"Total Expenditure, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,167652000000.00
"Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.77
"Compensation of Employees, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,8.13
"Subsidies and Transfers, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.66
"Grants, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Social Benefits, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.96
"Other Expense, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.57
"Use of Goods and Services, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.46
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.58
"Property Expense Other than Interest, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.57
"Total Expenditure, Cash (Gen. Govt.)",Egypt,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,32.45
"Interest, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,461800000.00
"Compensation of Employees, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1261300000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Grants, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,426700000.00
"Social Benefits, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,404700000.00
"Other Expense, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,348000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",El Salvador,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,618700000.00
"Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,121900000.00
"Compensation of Employees, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,549600000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,436300000.00
"Grants, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,4700000.00
"Social Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,558100000.00
"Other Expense, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,183300000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,572000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,38500000.00
"Social Security Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,407200000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,150900000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,183300000.00
"Total Expenditure, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,2666700000.00
"Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,1.05
"Compensation of Employees, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.73
"Subsidies and Transfers, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.75
"Grants, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.04
"Social Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.80
"Other Expense, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,1.58
"Use of Goods and Services, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.92
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.33
"Social Security Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.50
"Social Assistance Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,1.30
"Employer Social Benefits, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,1.58
"Total Expenditure, Cash (Gen. Govt.)",Georgia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,22.95
"Interest, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1995940000000.00
"Compensation of Employees, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1845570000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1081590000000.00
"Total Expenditure, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,9121970000000.00
"Interest, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.42
"Compensation of Employees, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.01
"Use of Goods and Services, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.94
"Total Expenditure, Cash (Gen. Govt.)",India,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,24.76
"Interest, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,4263600000000.00
"Compensation of Employees, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,164705000000000.00
"Other Expense, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,73324000000000.00
"Use of Goods and Services, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,45646900000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Total Expenditure, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,National Currency,549964000000000.00
"Interest, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.22
"Compensation of Employees, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,8.59
"Other Expense, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.83
"Use of Goods and Services, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.38
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Total Expenditure, Cash (Gen. Govt.)","Iran, Islamic Republic of",Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,28.69
"Interest, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,46053648081.00
"Compensation of Employees, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,69179206460.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,4161000000.00
"Grants, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,464000000.00
"Social Benefits, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,59438563225.00
"Other Expense, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,19048724244.00
"Use of Goods and Services, Cash (Gen. Govt.)",Israel,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,78654997326.00
"Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,88295600000.00
"Compensation of Employees, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,65352252000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Grants, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,4724880000.00
"Other Expense, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,6253252000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,42794270000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,22901000000.00
"Social Security Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,3476690000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1248190000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,83740000.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,6169512000.00
"Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,12.38
"Compensation of Employees, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,9.17
"Subsidies and Transfers, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Grants, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Social Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.66
"Other Expense, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.88
"Use of Goods and Services, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,6.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.21
"Social Security Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.49
"Social Assistance Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.18
"Employer Social Benefits, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.01
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Jamaica,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.87
"Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,30333910476.00
"Compensation of Employees, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,269555000000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,48904202490.00
"Grants, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1615367956.00
"Social Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,324091000000.00
"Other Expense, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,428426000000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,479824000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,14795221790.00
"Social Security Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,209378000000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,114713000000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,428426000000.00
"Total Expenditure, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1902470000000.00
"Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.40
"Compensation of Employees, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,3.52
"Subsidies and Transfers, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.64
"Grants, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.02
"Social Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,4.23
"Other Expense, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.59
"Use of Goods and Services, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,6.27
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.19
"Social Security Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.73
"Social Assistance Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,1.50
"Employer Social Benefits, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.59
"Total Expenditure, Cash (Gen. Govt.)",Kazakhstan,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,24.84
"Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,52600000.00
"Compensation of Employees, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,778700000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,44000000.00
"Grants, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,778700000.00
"Other Expense, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,916600000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,539000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,25500000.00
"Social Security Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,778700000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Employer Social Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,200000.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,916400000.00
"Total Expenditure, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,3297600000.00
"Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.58
"Compensation of Employees, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,8.65
"Subsidies and Transfers, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.49
"Grants, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Social Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,8.65
"Other Expense, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,10.18
"Use of Goods and Services, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,5.99
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.28
"Social Security Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,8.65
"Social Assistance Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Employer Social Benefits, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,10.18
"Total Expenditure, Cash (Gen. Govt.)",Latvia,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,36.64
"Interest, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,225100000.00
"Compensation of Employees, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1369200000.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,710100000.00
"Grants, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,300712688.00
"Other Expense, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Use of Goods and Services, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,1020300000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,179335040.00
"Social Security Benefits, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,147411846.50
"Employer Social Benefits, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,153300841.60
"Property Expense Other than Interest, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,91953.60
"Total Expenditure, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,National Currency,4338808526.00
"Interest, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,2.68
"Compensation of Employees, Cash (Gen. Govt.)",Lesotho,Government Finance Statistics (GFS),Annual,Published,2005,Percent of GDP,16.27
