Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Gross Domestic Product, Nominal",Bosnia and Herzegovina,International Financial Statistics (IFS),Annual,Published,2008,National Currency,28115565000.00
"Gross Domestic Product, Nominal",Bosnia and Herzegovina,International Financial Statistics (IFS),Annual,Published,2009,National Currency,27895185000.00
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",82.34
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,-2.28
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2003,National Currency,40029210000.00
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",92.76
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1993 prices,20856150000.00
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2003,Percent,6.28
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",91.54
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,11.17
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2004,National Currency,47157260000.00
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",98.30
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1993 prices,22102220000.00
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2004,Percent,5.97
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,9.25
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2005,National Currency,52409433977.70
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1993 prices,22484837464.62
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2005,Percent,1.73
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",119.23
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,19.23
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2006,National Currency,65694544168.54
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",105.14
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 1993 prices,23639582360.72
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2006,Percent,5.14
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",131.59
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,10.37
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2007,National Currency,75992668259.53
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",110.19
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 1993 prices,24776384251.19
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2007,Percent,4.81
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",154.38
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,17.32
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2008,National Currency,91776166061.76
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",113.43
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 1993 prices,25504729942.49
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2008,Percent,2.94
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",145.89
"Gross Domestic Product, Deflator",Botswana,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,-5.50
"Gross Domestic Product, Nominal",Botswana,International Financial Statistics (IFS),Annual,Published,2009,National Currency,82542330537.44
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",107.96
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 1993 prices,24274177031.98
"Gross Domestic Product, Real",Botswana,International Financial Statistics (IFS),Annual,Published,2009,Percent,-4.82
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",86.33
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,13.72
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2003,National Currency,1699947998000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",91.70
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1990 prices,15571404.68
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 2000 prices,1240825700783.25
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2003,Percent,1.15
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",93.28
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,8.04
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2004,National Currency,1941497999000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",96.94
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 1990 prices,16340632.07
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 2000 prices,1311676848297.98
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2004,Percent,5.71
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,7.21
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2005,National Currency,2147238999000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 1990 prices,16713198.48
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 2000 prices,1353125836704.18
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2005,Percent,3.16
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",106.15
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,6.15
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2006,National Currency,2369484000000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",103.96
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 2000 prices,1406709619837.67
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2006,Percent,3.96
Net debt (Gen. Govt.),Brazil,Fiscal Monitor - Latest Published Data,Annual,Published,2006,Percent of GDP,46.96
Net debt (Gen. Govt.),Brazil,Fiscal Monitor September 2011,Annual,Published,2006,Percent of GDP,46.96
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",112.38
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,5.87
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2007,National Currency,2661344001000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",110.29
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 2000 prices,1492378235685.79
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2007,Percent,6.09
Net debt (Gen. Govt.),Brazil,Fiscal Monitor - Latest Published Data,Annual,Published,2007,Percent of GDP,45.12
Net debt (Gen. Govt.),Brazil,Fiscal Monitor September 2011,Annual,Published,2007,Percent of GDP,45.12
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",121.74
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,8.33
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2008,National Currency,3032203004000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",115.99
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 2000 prices,1569534190470.75
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2008,Percent,5.17
Net debt (Gen. Govt.),Brazil,Fiscal Monitor - Latest Published Data,Annual,Published,2008,Percent of GDP,38.05
Net debt (Gen. Govt.),Brazil,Fiscal Monitor September 2011,Annual,Published,2008,Percent of GDP,38.05
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",130.49
"Gross Domestic Product, Deflator",Brazil,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,7.19
"Gross Domestic Product, Nominal",Brazil,International Financial Statistics (IFS),Annual,Published,2009,National Currency,3239403999000.00
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",115.61
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 2000 prices,1564354727642.20
"Gross Domestic Product, Real",Brazil,International Financial Statistics (IFS),Annual,Published,2009,Percent,-0.33
Net debt (Gen. Govt.),Brazil,Fiscal Monitor - Latest Published Data,Annual,Published,2009,Percent of GDP,41.53
Net debt (Gen. Govt.),Brazil,Fiscal Monitor September 2011,Annual,Published,2009,Percent of GDP,42.24
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",72.66
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,43.82
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,National Currency,11424200000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",99.11
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 1974 prices,4559700000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 2000 prices,11362100000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2003,Percent,3.81
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",84.20
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,15.89
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,National Currency,13305800000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",99.61
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 2000 prices,11419400000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2004,Percent,0.50
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,18.77
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,National Currency,15864100000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 2000 prices,11463700000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2005,Percent,0.39
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",110.05
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,10.05
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,National Currency,18225841000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",104.40
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 2000 prices,11967800000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2006,Percent,4.40
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",111.28
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,1.12
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,National Currency,18458400000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",104.56
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 2000 prices,11986200000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2007,Percent,0.15
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",125.40
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,12.69
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,National Currency,20397900000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",102.53
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 2000 prices,11753900000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2008,Percent,-1.94
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",97.70
"Gross Domestic Product, Deflator",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,Percent Change over Corresponding Period of Previous Year,-22.09
"Gross Domestic Product, Nominal",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,National Currency,15611350000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,"Index, 2005=100",100.72
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,National Currency at 2000 prices,11546400000.00
"Gross Domestic Product, Real",Brunei Darussalam,International Financial Statistics (IFS),Annual,Published,2009,Percent,-1.77
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,3632470000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,930800000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,13914500000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",89.39
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,Percent Change over Corresponding Period of Previous Year,2.27
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,35811750000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,"Index, 2005=100",88.08
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 2001 prices,32940610000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency at 2005 prices,40061197000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,Percent,5.51
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,797380000.00
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,4579890000.00
"Subsidies and Transfers, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,355460000.00
"Use of Goods and Services, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2003,National Currency,2944110000.00
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,3997220000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,900550000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,15078850000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",93.12
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,Percent Change over Corresponding Period of Previous Year,4.17
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,39823613000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,"Index, 2005=100",94.02
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 2001 prices,35128415000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency at 2005 prices,42764643000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,Percent,6.75
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,759950000.00
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,4982140000.00
"Subsidies and Transfers, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,389310000.00
"Use of Goods and Services, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2004,National Currency,3268140000.00
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,4293760000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,975130000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,16525680000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,Percent Change over Corresponding Period of Previous Year,7.39
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,45483751000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,"Index, 2005=100",100.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 2001 prices,37322390000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency at 2005 prices,45483751000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,Percent,6.36
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,731800000.00
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,5313020000.00
"Subsidies and Transfers, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,347910000.00
"Use of Goods and Services, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2005,National Currency,3830000000.00
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,4534000000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,951920000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,16876110000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",106.89
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,Percent Change over Corresponding Period of Previous Year,6.89
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,51783088000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,"Index, 2005=100",106.51
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 2001 prices,39681999000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency at 2005 prices,48445028000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,Percent,6.51
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,690960000.00
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor - Latest Published Data,Annual,Published,2006,Percent of GDP,-10.45
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor September 2011,Annual,Published,2006,Percent of GDP,-10.45
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,5833770000.00
"Subsidies and Transfers, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,373710000.00
"Use of Goods and Services, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2006,National Currency,3794010000.00
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,5323870000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,1167690000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,22215400000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",116.71
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,Percent Change over Corresponding Period of Previous Year,9.18
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,60184626000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,"Index, 2005=100",113.38
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 2001 prices,42129293000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency at 2005 prices,51568887000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,Percent,6.45
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,708900000.00
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor - Latest Published Data,Annual,Published,2007,Percent of GDP,-10.22
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor September 2011,Annual,Published,2007,Percent of GDP,-10.22
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,6482070000.00
"Subsidies and Transfers, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,500190000.00
"Use of Goods and Services, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2007,National Currency,4528450000.00
"Compensation of Employees, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,6364010000.00
"Consumption of Fixed Capital, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,987060000.00
"Expense, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,23881280000.00
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",126.54
"Gross Domestic Product, Deflator",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,Percent Change over Corresponding Period of Previous Year,8.43
"Gross Domestic Product, Nominal",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,69295031000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,"Index, 2005=100",120.40
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 2001 prices,43068433000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency at 2005 prices,54761307000.00
"Gross Domestic Product, Real",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,Percent,6.19
"Interest, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,607900000.00
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor - Latest Published Data,Annual,Published,2008,Percent of GDP,-13.61
Net debt (Gen. Govt.),Bulgaria,Fiscal Monitor September 2011,Annual,Published,2008,Percent of GDP,-13.61
"Social Benefits, Noncash (Gen. Govt.)",Bulgaria,International Financial Statistics (IFS),Annual,Published,2008,National Currency,8070110000.00
